Wavelength (nm),Sensitivity multiplier
201.9939037,0.00002
202.0007369,0.00002
202.0075701,0.00002
202.0144032,0.00002
202.0212354,0.00002
202.0280676,0.00002
202.0348988,0.00002
202.0417299,0.00002
202.0485611,0.00002
202.0553913,0.00002
202.0622214,0.00002
202.0690506,0.00002
202.0758808,0.00002
202.082709,0.00002
202.0895381,0.00002
202.0963663,0.00002
202.1031945,0.00002
202.1100216,0.00002
202.1168488,0.00002
202.123675,0.00002
202.1305021,0.00002
202.1373273,0.00002
202.1441535,0.00002
202.1509786,0.00002
202.1578038,0.00002
202.164628,0.00002
202.1714521,0.00002
202.1782753,0.00002
202.1850995,0.00002
202.1919216,0.00002
202.1987448,0.00002
202.205567,0.00002
202.2123891,0.00002
202.2192103,0.00002
202.2260314,0.00002
202.2328516,0.00002
202.2396728,0.00002
202.2464919,0.00002
202.2533121,0.00002
202.2601313,0.00002
202.2669504,0.00002
202.2737686,0.00002
202.2805867,0.00002
202.2874039,0.00002
202.2942221,0.00002
202.3010382,0.00002
202.3078554,0.00002
202.3146715,0.00002
202.3214877,0.00002
202.3283029,0.00002
202.335118,0.00002
202.3419322,0.00002
202.3487473,0.00002
202.3555605,0.00002
202.3623747,0.00002
202.3691878,0.00002
202.376001,0.00002
202.3828131,0.00002
202.3896253,0.00002
202.3964365,0.00002
202.4032486,0.00002
202.4100588,0.00002
202.4168699,0.00002
202.4236801,0.00002
202.4304902,0.00002
202.4372994,0.00002
202.4441085,0.00002
202.4509167,0.00002
202.4577249,0.00002
202.464533,0.00002
202.4713412,0.00002
202.4781483,0.00002
202.4849545,0.00002
202.4917616,0.00002
202.4985678,0.00002
202.5053729,0.00002
202.5121781,0.00002
202.5189832,0.00002
202.5257884,0.00002
202.5325925,0.00002
202.5393957,0.00002
202.5461998,0.00002
202.553002,0.00002
202.5598051,0.00002
202.5666073,0.00002
202.5734094,0.00002
202.5802106,0.00002
202.5870117,0.00002
202.5938129,0.00002
202.600613,0.00002
202.6074132,0.00002
202.6142133,0.00002
202.6210125,0.00002
202.6278116,0.00002
202.6346098,0.00002
202.6414079,0.00002
202.6482061,0.00002
202.6550032,0.00002
202.6618004,0.00002
202.6685965,0.00002
202.6753927,0.00002
202.6821888,0.00002
202.688985,0.00002
202.6957801,0.00002
202.7025743,0.00002
202.7093684,0.00002
202.7161625,0.00002
202.7229567,0.00002
202.7297498,0.00002
202.736543,0.00002
202.7433351,0.00002
202.7501273,0.00002
202.7569194,0.00002
202.7637106,0.00002
202.7705017,0.00002
202.7772918,0.00002
202.784082,0.00002
202.7908721,0.00002
202.7976613,0.00002
202.8044504,0.00002
202.8112395,0.00002
202.8180277,0.00002
202.8248158,0.00002
202.831604,0.00002
202.8383911,0.00002
202.8451772,0.00002
202.8519644,0.00002
202.8587505,0.00002
202.8655357,0.00002
202.8723208,0.00002
202.8791059,0.00002
202.8858911,0.00002
202.8926752,0.00002
202.8994584,0.00002
202.9062425,0.00002
202.9130256,0.00002
202.9198078,0.00002
202.9265899,0.00002
202.933372,0.00002
202.9401542,0.00002
202.9469353,0.00002
202.9537154,0.00002
202.9604966,0.00002
202.9672757,0.00002
202.9740559,0.00002
202.980835,0.00002
202.9876141,0.00002
202.9943923,0.00002
203.0011704,0.00002
203.0079485,0.00002
203.0147257,0.00002
203.0215028,0.00002
203.0282799,0.00002
203.0350561,0.00002
203.0418312,0.00002
203.0486073,0.00002
203.0553825,0.00002
203.0621566,0.00002
203.0689317,0.00002
203.0757058,0.00002
203.082479,0.00002
203.0892521,0.00002
203.0960252,0.00002
203.1027974,0.00002
203.1095695,0.00002
203.1163416,0.00002
203.1231128,0.00002
203.1298839,0.00002
203.136654,0.00002
203.1434241,0.00002
203.1501943,0.00002
203.1569634,0.00002
203.1637325,0.00002
203.1705017,0.00002
203.1772698,0.00002
203.1840379,0.00002
203.190805,0.00002
203.1975722,0.00002
203.2043393,0.00002
203.2111054,0.00002
203.2178715,0.00002
203.2246377,0.00002
203.2314028,0.00002
203.2381679,0.00002
203.244932,0.00002
203.2516962,0.00002
203.2584603,0.00002
203.2652234,0.00002
203.2719865,0.00002
203.2787487,0.00002
203.2855108,0.00002
203.2922729,0.00002
203.299034,0.00002
203.3057951,0.00002
203.3125563,0.00002
203.3193164,0.00002
203.3260765,0.00002
203.3328356,0.00002
203.3395957,0.00002
203.3463539,0.00002
203.353113,0.00002
203.3598701,0.00002
203.3666282,0.00002
203.3733853,0.00002
203.3801425,0.00002
203.3868986,0.00002
203.3936557,0.00002
203.4004108,0.00002
203.4071659,0.00002
203.4139211,0.00002
203.4206762,0.00002
203.4274303,0.00002
203.4341844,0.00002
203.4409375,0.00002
203.4476906,0.00002
203.4544438,0.00002
203.4611959,0.00002
203.467948,0.00002
203.4746991,0.00002
203.4814502,0.00002
203.4882013,0.00002
203.4900582,0.00002
203.4949525,0.00002
203.4969474,0.00002
203.5038366,0.00002
203.5107247,0.00002
203.5176129,0.00002
203.5245011,0.00002
203.5313883,0.00002
203.5382754,0.00002
203.5451626,0.00002
203.5520488,0.00002
203.558935,0.00002
203.5658201,0.00002
203.5727053,0.00002
203.5795905,0.00002
203.5864747,0.00002
203.5933588,0.00002
203.600243,0.00002
203.6071262,0.00002
203.6140084,0.00002
203.6208915,0.00002
203.6277737,0.00002
203.6346559,0.00002
203.6415371,0.00002
203.6484182,0.00002
203.6552984,0.00002
203.6621786,0.00002
203.6690588,0.00002
203.6759389,0.00002
203.6828181,0.00002
203.6896963,0.00002
203.6965744,0.00002
203.7034526,0.00002
203.7103308,0.00002
203.717208,0.00002
203.7240851,0.00002
203.7309613,0.00002
203.7378375,0.00002
203.7447136,0.00002
203.7515888,0.00002
203.758464,0.00002
203.7653381,0.00002
203.7722123,0.00002
203.7790865,0.00002
203.7859596,0.00002
203.7928328,0.00002
203.799706,0.00002
203.8065781,0.00002
203.8134503,0.00002
203.8203225,0.00002
203.8271936,0.00002
203.8340638,0.00002
203.840935,0.00002
203.8478051,0.00002
203.8546743,0.00002
203.8615435,0.00002
203.8684126,0.00002
203.8752818,0.00002
203.88215,0.00002
203.8890171,0.00002
203.8958853,0.00002
203.9027525,0.00002
203.9096186,0.00002
203.9164848,0.00002
203.9233509,0.00002
203.9302171,0.00002
203.9370823,0.00002
203.9439464,0.00002
203.9508116,0.00002
203.9576748,0.00002
203.9645389,0.00002
203.9714021,0.00002
203.9782652,0.00002
203.9851274,0.00002
203.9919896,0.00002
203.9988517,0.00002
204.0057129,0.00002
204.012574,0.00002
204.0194342,0.00002
204.0262953,0.00002
204.0331545,0.00002
204.0400147,0.00002
204.0468738,0.00002
204.053732,0.00002
204.0605901,0.00002
204.0674483,0.00002
204.0743064,0.00002
204.0811636,0.00002
204.0880208,0.00002
204.0948769,0.00002
204.1017331,0.00002
204.1085882,0.00002
204.1154444,0.00002
204.1222985,0.00002
204.1291537,0.00002
204.1360078,0.00002
204.142861,0.00002
204.1497152,0.00002
204.1565683,0.00002
204.1634205,0.00002
204.1702726,0.00002
204.1771248,0.00002
204.1839769,0.00002
204.1908281,0.00002
204.1976782,0.00002
204.2045284,0.00002
204.2113785,0.00002
204.2182287,0.00002
204.2250778,0.00002
204.231927,0.00002
204.2387751,0.00002
204.2456233,0.00002
204.2524714,0.00002
204.2593186,0.00002
204.2661657,0.00002
204.2730119,0.00002
204.279858,0.00002
204.2867042,0.00002
204.2935493,0.00002
204.3003945,0.00002
204.3072396,0.00002
204.3140838,0.00002
204.3209279,0.00002
204.3277711,0.00002
204.3346142,0.00002
204.3414573,0.00002
204.3482995,0.00002
204.3551416,0.00002
204.3619828,0.00002
204.3688249,0.00002
204.3756651,0.00002
204.3825062,0.00002
204.3893464,0.00002
204.3961855,0.00002
204.4030257,0.00002
204.4098638,0.00002
204.4167029,0.00002
204.4235411,0.00002
204.4303792,0.00002
204.4372164,0.00002
204.4440535,0.00002
204.4508907,0.00002
204.4577268,0.00002
204.4645629,0.00002
204.4713981,0.00002
204.4782332,0.00002
204.4850684,0.00002
204.4919025,0.00002
204.4987366,0.00002
204.5055698,0.00002
204.5124039,0.00002
204.5192361,0.00002
204.5260692,0.00002
204.5329013,0.00002
204.5397325,0.00002
204.5465646,0.00002
204.5533948,0.00002
204.5602259,0.00002
204.567056,0.00002
204.5738862,0.00002
204.5807153,0.00002
204.5875444,0.00002
204.5943736,0.00002
204.6012017,0.00002
204.6080298,0.00002
204.614857,0.00002
204.6216841,0.00002
204.6285113,0.00002
204.6353374,0.00002
204.6421635,0.00002
204.6489897,0.00002
204.6558148,0.00002
204.6626389,0.00002
204.6694641,0.00002
204.6762882,0.00002
204.6831113,0.00002
204.6899355,0.00002
204.6967586,0.00002
204.7035807,0.00002
204.7104029,0.00002
204.717225,0.00002
204.7240461,0.00002
204.7308673,0.00002
204.7376884,0.00002
204.7445085,0.00002
204.7513286,0.00002
204.7581478,0.00002
204.7649669,0.00002
204.771786,0.00002
204.7786042,0.00002
204.7854223,0.00002
204.786889,0.00002
204.7922394,0.00002
204.7938482,0.00002
204.8008054,0.00002
204.8077635,0.00002
204.8147207,0.00002
204.8216769,0.00002
204.8286331,0.00002
204.8355893,0.00002
204.8425445,0.00002
